year,indice_dez,indice_medio,ipca_aa,deflator_2010,deflator_medio_2010
2002,1.2116508581552794,1.1260783821373141,12.530337079575027,63.824270157497885,59.31670034837661
2003,1.324333774010963,1.2917747184543311,9.299949329235147,69.75989494189933,68.04483160997277
2004,1.424991671373682,1.3770060081685522,7.600644138060453,75.06209630751793,72.534429272516
2005,1.506069897675539,1.4716088185700025,5.68973334585865,79.3329294312273,77.51767612789594
2006,1.5533872247258773,1.5331767293799456,3.141774968304434,81.82539154972024,80.7607943464141
2007,1.622626826239612,1.5890051471340094,4.457330433237816,85.47261962938191,83.70158210983462
2008,1.7183993471211207,1.6792335991448764,5.902313417525495,90.51748152607746,88.45440761090515
2009,1.7924972137861914,1.7613162713185864,4.312028329689999,94.42062097280383,92.77815038614678
2010,1.8984170992716605,1.8500699086890637,5.909068347266233,100,97.45328934294021
2011,2.0218732332832396,1.972847272637358,6.503109040628852,106.50310904062886,103.92064385609743
2012,2.1399216970532793,2.079452694898031,5.838568997639149,112.72136654659681,109.53613385044972
2013,2.2664085756208423,2.2084664964748875,5.910818080013791,119.38412146047168,116.33199560424205
2014,2.411631347654374,2.348244432273249,6.407616596391952,127.0337982406296,123.69486311381033
2015,2.6690367712080487,2.560294430699133,10.673497995621716,140.59274814960534,134.8646949967637
2016,2.836867272799107,2.7840526631916767,6.288055054224495,149.43329755549973,146.65126353211818
2017,2.920479677763846,2.8799996663004683,2.9473499083459087,153.83761971404,151.70531636095134
2018,3.029865721966093,2.9855423369756027,3.7454821218273926,159.59958025707417,157.26482542329737
2019,3.160332951418893,3.096993834651227,4.306039984113186,166.4720019974206,163.13558468470433
2020,3.3030959833876268,3.196456607604332,4.517341500509864,173.9921108303797,168.37483231849694
2021,3.635422283453253,3.461812808342234,10.061054893257904,191.49755261096232,182.35259309823854
2022,3.845725717115388,3.783066834285078,5.784841959607778,202.57538338602325,199.27479771102333
2023,4.023441083960395,3.956843140704577,4.621113930566767,211.93662264757376,208.42854514019308
2024,4.217825423737725,4.1296550186624,4.831295791859613,222.17590777895543,217.53149085344668
