"uf","dcl","rcl","dcl_rcl"
"RO",-792923871.56,15803769902.64,-0.0501730837923389
"AC",1485694991.17,11290138605.03,0.131592272083187
"AM",7534524307.58,28566006549.35,0.263758404401523
"RR",816783155.93,8612853167.57,0.0948330524204727
"PA",4027094059.01,44705086000.08,0.0900813401634614
"MA",1734670640.67,32451618353.68,0.0534540564900144
"PI",13350546206.89,18732289115.6,0.712702335763751
"CE",11968573704.41,39618216873.59,0.302097738083422
"RN",9472277218.47,19513846659.98,0.485413121437314
"PB",675407206.91,21120659776.55,0.0319785089128653
"PE",14981516040.5,47205580146.41,0.31736748058247
"AL",13549741920.48,18967280537.43,0.71437451951749
"SE",1159844920.89,16487993056.83,0.0703448210399109
"BA",24569330296.45,68995621759.51,0.356099846191523
"MG",187101497500.28,111739462561.63,1.6744442223989
"ES",-14728876229.25,28084840124.16,-0.524442231614467
"RJ",218405063161.58,100556162133.43,2.17197095163371
"SP",330471301118.9,266221395322.55,1.24134012864934
"PR",-3495237455.97,71133950007.5,-0.0491359956195527
"SC",11876883635.5,51032081150.54,0.232733671990846
"RS",113377582604.03,65232845641.12,1.73804440829976
"MS",5533343650.69,22199300373.82,0.249257569270767
"MT",-5549777994.38,37257271565.12,-0.1489582505976
"GO",15184347199.87,45370896917.06,0.33467152363392
"DF",6221218399.07,39201192140.12,0.158699724662275
