uf,nome,obs_total,dcl_pct,rcl_pct,primario_pct,pib_pct
AC,Acre,23,0,0,0,91.3
AL,Alagoas,23,0,0,0,91.3
AM,Amazonas,23,0,0,0,91.3
AP,Amapá,23,0,0,0,91.3
BA,Bahia,23,0,0,0,91.3
CE,Ceará,23,0,0,0,91.3
DF,Distrito Federal,23,0,0,0,91.3
ES,Espírito Santo,23,0,0,0,91.3
GO,Goiás,23,0,0,0,91.3
MA,Maranhão,23,0,0,0,91.3
MG,Minas Gerais,23,0,0,0,91.3
MS,Mato Grosso do Sul,23,0,0,0,91.3
MT,Mato Grosso,23,0,0,0,91.3
PA,Pará,23,0,0,0,91.3
PB,Paraíba,23,0,0,0,91.3
PE,Pernambuco,23,0,0,0,91.3
PI,Piauí,23,0,0,0,91.3
PR,Paraná,23,0,0,0,91.3
RJ,Rio de Janeiro,23,0,0,0,91.3
RN,Rio Grande do Norte,23,0,0,0,91.3
RO,Rondônia,23,0,0,0,91.3
RR,Roraima,23,0,0,0,91.3
RS,Rio Grande do Sul,23,0,0,0,91.3
SC,Santa Catarina,23,0,0,0,91.3
SE,Sergipe,23,0,0,0,91.3
SP,São Paulo,23,0,0,0,91.3
TO,Tocantins,23,0,0,0,91.3
